CRIME_DATE,OFFENSE,LOCATION
2020-03-06,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2019-07-13,HOMICIDE,"CTA ""L"" PLATFORM"
2018-07-11,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2017-01-22,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-05-31,ARSON,TAVERN / LIQUOR STORE
2019-11-15,HOMICIDE,NOT IDENTIFIED
2019-03-14,ARSON,CTA STATION
2020-06-17,STALKING,PARKING LOT / GARAGE (NON RESIDENTIAL)
2018-09-14,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-02-17,HOMICIDE,CTA PROPERTY
2020-01-06,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-02-14,HOMICIDE,RETAIL STORE
2017-07-01,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-18,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-05-08,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-07-28,GAMBLING,CTA BUS STOP
2018-05-31,SEX OFFENSE,CTA STATION
2017-02-09,HOMICIDE,YARD
2018-05-06,SEX OFFENSE,GOVERNMENT BUILDING/PROPERTY
2020-08-26,CRIMINAL SEXUAL ASSAULT,RESIDENCE - YARD (FRONT / BACK)
2020-02-01,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-12-03,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-03-27,ARSON,APPLIANCE STORE
2020-01-29,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2018-01-27,HOMICIDE,NOT IDENTIFIED
2018-12-08,SEX OFFENSE,HOTEL/MOTEL
2020-08-03,SEX OFFENSE,CTA STATION
2020-01-24,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-09-26,ARSON,ABANDONED BUILDING
2020-08-16,ARSON,RESIDENCE - PORCH / HALLWAY
2018-09-27,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2017-11-14,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-12-02,ARSON,NOT IDENTIFIED / BOAT / RV DEALERSHIP
2020-03-01,CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING
2019-03-18,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2020-02-02,LIQUOR LAW VIOLATION,OTHER RAILROAD PROP / TRAIN DEPOT
2017-03-25,CRIM SEXUAL ASSAULT,CHA APARTMENT
2018-11-05,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-08-12,INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT / GROUNDS
2018-11-29,KIDNAPPING,"SCHOOL, PUBLIC, GROUNDS"
2018-06-20,GAMBLING,ABANDONED BUILDING
2020-06-21,SEX OFFENSE,CTA PLATFORM
2020-08-11,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY / VEHICLE PARKING LOT
2017-10-07,INTERFERENCE WITH PUBLIC OFFICER,CTA STATION
2019-04-30,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2017-12-25,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-08-24,HOMICIDE,PORCH
2019-04-07,HOMICIDE,PARKING LOT
2018-10-01,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
