"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","dewp","NUM_CRIMES"
"101",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,54.1,7.7,10,41.1,0.691823899371069
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,69.7,12.9,9.5,54.7,0.830188679245283
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,68.1,12.2,9.3,52.5,0.421383647798742
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,58.8,6,10,35.5,0.625786163522013
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,55.4,9.3,10,39.2,0.572327044025157
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,64.7,8.5,10,52.7,0.644654088050314
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,56.5,11.3,10,46.6,0.50314465408805
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,50.4,12.7,10,35.4,0.823899371069182
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,49.7,9.4,10,29.8,0.465408805031447
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,54.5,3.5,10,26.3,0.471698113207547
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,55.3,7.2,10,34.4,0.575471698113208
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,63.7,9.2,10,43.5,0.641509433962264
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,69.5,11.9,10,54.1,0.644654088050314
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,54.3,12,8.7,48.3,0.512578616352201
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,48.4,6.5,9.8,38.2,0.877358490566038
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,45.5,13.7,8.2,36.9,0.19811320754717
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,43.6,14.3,3.4,41.3,0.323899371069182
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,49.6,10.1,7.6,43.5,0.974842767295597
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2017,45.8,15.8,9.6,37.8,0.427672955974843
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,47.6,5.8,10,33.4,0.584905660377358
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2017,48.7,8.9,10,34.5,0.591194968553459
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2017,49.1,12,10,37.3,0.773584905660377
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2017,51,10.3,9.9,36.2,0.50314465408805
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2017,48.3,8.3,10,24.6,0.242138364779874
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,46.1,5.5,10,25.8,0.477987421383648
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2017,48.1,6.3,9.8,33.2,0.484276729559748
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,55,5.3,9.5,38.7,0.345911949685535
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2017,54.8,9.5,6.6,46.7,0.578616352201258
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2017,58.6,5.3,10,41.2,0.930817610062893
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2017,62.1,7.2,10,44,0.537735849056604
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2017,62.4,6.3,10,43.9,0.5
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,62.5,7.5,10,42.9,1
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2017,74.1,10.2,10,57.7,0.613207547169811
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,78.3,16.7,10,58.2,0.883647798742138
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2017,74,18.1,9.8,57.7,0.69811320754717
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2017,48,15.6,9.4,40.7,0.70125786163522
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2017,51.4,10.9,8.5,44.6,0.349056603773585
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2017,60.8,9.1,7.7,52.9,0.748427672955975
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,57.5,11.4,10,42.6,0.761006289308176
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2017,60.7,7.4,9.1,53.3,0.584905660377358
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2017,56.9,10.1,7.9,51.7,0.657232704402516
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2017,58.8,10.6,10,50.7,0.660377358490566
"143",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2017,60.2,5.2,9.2,51.4,0.672955974842767
"144",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2017,61.7,5.4,9.4,52.8,0.776729559748428
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2017,67.6,5.4,9.6,55,0.477987421383648
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,68.7,10.5,10,46.6,0.676100628930818
"147",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2017,64.2,9.5,10,44.3,0.820754716981132
